keyword,dizi,dizi_anahtar,kategori,tur,cikis_yili,sezon_sayisi,durum,sayfa_tipi,intent_katmani,entity_tipi,sezon_no,belirsiz_ad,marka_tipi,dil,erisim,apple_resmi
the morning show 2 sezon izle,The Morning Show,the morning show,Drama,Drama,2019,4,Devam,İzleme,İzleme,Sezon,2,hayır,Jenerik,tr,Doğrulanacak,evet
the morning show 3 sezon izle,The Morning Show,the morning show,Drama,Drama,2019,4,Devam,İzleme,İzleme,Sezon,3,hayır,Jenerik,tr,Doğrulanacak,evet
the morning show 4 sezon izle,The Morning Show,the morning show,Drama,Drama,2019,4,Devam,İzleme,İzleme,Sezon,4,hayır,Jenerik,tr,Doğrulanacak,evet
the morning show 5 sezon izle,The Morning Show,the morning show,Drama,Drama,2019,4,Devam,İzleme,İzleme,Sezon,5,hayır,Jenerik,tr,Doğrulanacak,evet
the morning show 1 sezon 1 bölüm,The Morning Show,the morning show,Drama,Drama,2019,4,Devam,Bölüm,İzleme,Bölüm,,hayır,Jenerik,tr,Doğrulanacak,evet
the morning show 1 bölüm,The Morning Show,the morning show,Drama,Drama,2019,4,Devam,Bölüm,İzleme,Bölüm,,hayır,Jenerik,tr,Doğrulanacak,evet
the morning show dizipal,The Morning Show,the morning show,Drama,Drama,2019,4,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
the morning show dizibox,The Morning Show,the morning show,Drama,Drama,2019,4,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
foundation dizi,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Dizi Ana,Navigasyonel,Dizi,,evet,Jenerik,tr,Doğrulanacak,evet
foundation dizisi,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Dizi Ana,Navigasyonel,Dizi,,evet,Jenerik,tr,Doğrulanacak,evet
foundation izle,Foundation,foundation,Drama,Science fiction,2021,3,Devam,İzleme,İzleme,Dizi,,evet,Jenerik,tr,Doğrulanacak,evet
foundation türkçe dublaj izle,Foundation,foundation,Drama,Science fiction,2021,3,Devam,İzleme,İzleme,Dizi,,evet,Jenerik,tr,Doğrulanacak,evet
foundation altyazılı izle,Foundation,foundation,Drama,Science fiction,2021,3,Devam,İzleme,İzleme,Dizi,,evet,Jenerik,tr,Doğrulanacak,evet
foundation türkçe dublaj,Foundation,foundation,Drama,Science fiction,2021,3,Devam,İzleme,İzleme,Dizi,,evet,Jenerik,tr,Doğrulanacak,evet
foundation dizi izle,Foundation,foundation,Drama,Science fiction,2021,3,Devam,İzleme,İzleme,Dizi,,evet,Jenerik,tr,Doğrulanacak,evet
foundation full izle,Foundation,foundation,Drama,Science fiction,2021,3,Devam,İzleme,İzleme,Dizi,,evet,Jenerik,tr,Doğrulanacak,evet
foundation hangi platformda,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Platform,İzleme,Dizi,,evet,Jenerik,tr,Doğrulanacak,evet
foundation nereden izlenir,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Platform,İzleme,Dizi,,evet,Jenerik,tr,Doğrulanacak,evet
foundation netflix,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Platform,İzleme,Dizi,,evet,Platform Markalı,tr,Doğrulanacak,evet
foundation apple tv,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Platform,İzleme,Dizi,,evet,Platform Markalı,tr,Doğrulanacak,evet
foundation konusu,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Konu,Bilgi,Dizi,,evet,Jenerik,tr,Doğrulanacak,evet
foundation ne anlatıyor,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Konu,Bilgi,Dizi,,evet,Jenerik,tr,Doğrulanacak,evet
foundation oyuncuları,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Oyuncular,Bilgi,Dizi,,evet,Jenerik,tr,Doğrulanacak,evet
foundation cast,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Oyuncular,Bilgi,Dizi,,evet,Jenerik,en,Doğrulanacak,evet
foundation kaç sezon,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Sezon Bilgi,Bilgi,Dizi,,evet,Jenerik,tr,Doğrulanacak,evet
foundation yeni sezon ne zaman,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Sezon Takvim,Sezon & Takvim,Dizi,,evet,Jenerik,tr,Doğrulanacak,evet
foundation 2 sezon,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Sezon Takvim,Sezon & Takvim,Sezon,2,evet,Jenerik,tr,Doğrulanacak,evet
foundation 3 sezon,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Sezon Takvim,Sezon & Takvim,Sezon,3,evet,Jenerik,tr,Doğrulanacak,evet
foundation 4 sezon,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Sezon Takvim,Sezon & Takvim,Sezon,4,evet,Jenerik,tr,Doğrulanacak,evet
foundation 2 sezon ne zaman,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Sezon Takvim,Sezon & Takvim,Sezon,2,evet,Jenerik,tr,Doğrulanacak,evet
foundation 3 sezon ne zaman,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Sezon Takvim,Sezon & Takvim,Sezon,3,evet,Jenerik,tr,Doğrulanacak,evet
foundation 4 sezon ne zaman,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Sezon Takvim,Sezon & Takvim,Sezon,4,evet,Jenerik,tr,Doğrulanacak,evet
foundation season 2,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Sezon Takvim,Sezon & Takvim,Sezon,2,evet,Jenerik,en,Doğrulanacak,evet
foundation season 3,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Sezon Takvim,Sezon & Takvim,Sezon,3,evet,Jenerik,en,Doğrulanacak,evet
foundation season 4,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Sezon Takvim,Sezon & Takvim,Sezon,4,evet,Jenerik,en,Doğrulanacak,evet
foundation 2 sezon izle,Foundation,foundation,Drama,Science fiction,2021,3,Devam,İzleme,İzleme,Sezon,2,evet,Jenerik,tr,Doğrulanacak,evet
foundation 3 sezon izle,Foundation,foundation,Drama,Science fiction,2021,3,Devam,İzleme,İzleme,Sezon,3,evet,Jenerik,tr,Doğrulanacak,evet
foundation 4 sezon izle,Foundation,foundation,Drama,Science fiction,2021,3,Devam,İzleme,İzleme,Sezon,4,evet,Jenerik,tr,Doğrulanacak,evet
foundation 1 sezon 1 bölüm,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Bölüm,İzleme,Bölüm,,evet,Jenerik,tr,Doğrulanacak,evet
foundation 1 bölüm,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Bölüm,İzleme,Bölüm,,evet,Jenerik,tr,Doğrulanacak,evet
foundation dizipal,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,evet,Korsan Markalı,tr,Doğrulanacak,evet
foundation dizibox,Foundation,foundation,Drama,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,evet,Korsan Markalı,tr,Doğrulanacak,evet
ınvasion,Invasion,ınvasion,Drama,Science fiction,2021,3,Belirsiz,Dizi Ana,Navigasyonel,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet
ınvasion dizi,Invasion,ınvasion,Drama,Science fiction,2021,3,Belirsiz,Dizi Ana,Navigasyonel,Dizi,,hayır,Jenerik,tr,Doğrulanacak,evet
